Date,Open,High,Low,Volatility,Close,Adj Close,Volume
2010-07-16,0.049510000000000005,0.049510000000000005,0.049510000000000005,0.000000,0.049510000000000005,0.049510000000000005,0
2010-07-17,0.049510000000000005,0.08585,0.059410000000000004,44.504292,0.08584,0.08584,5
2010-07-18,0.08584,0.09307,0.07723,20.510164,0.0808,0.0808,49
2010-07-19,0.0808,0.08181000000000001,0.07426,10.166981,0.07474,0.07474,20
2010-07-20,0.07474,0.07921,0.06634,19.400060,0.07921,0.07921,42
2010-07-21,0.07921,0.08181000000000001,0.0505,62.000000,0.0505,0.0505,129
2010-07-22,0.0505,0.06767000000000001,0.0505,34.000000,0.06262000000000001,0.06262000000000001,141
2010-07-23,0.06262000000000001,0.061610000000000005,0.05049,22.024163,0.05454,0.05454,26
2010-07-24,0.05454,0.059410000000000004,0.0505,17.643564,0.0505,0.0505,85
2010-07-25,0.0505,0.056,0.05,12.000000,0.056,0.056,46
2010-07-26,0.056,0.0605,0.053,14.150943,0.06,0.06,196
2010-07-27,0.06,0.062,0.054,14.814815,0.0589,0.0589,255
2010-07-28,0.0589,0.0699,0.0571,22.416813,0.0699,0.0699,528
2010-07-29,0.0699,0.0698,0.0582,19.931271,0.0627,0.0627,198
2010-07-30,0.0627,0.06888999999999999,0.056,23.017857,0.06785,0.06785,243
2010-07-31,0.06785,0.065,0.06,8.333333,0.0611,0.0611,162
2010-08-01,0.0611,0.0633,0.06,5.500000,0.06,0.06,221
2010-08-02,0.06,0.065,0.059,10.169492,0.06,0.06,606
2010-08-03,0.06,0.062310000000000004,0.057,9.315789,0.057,0.057,210
2010-08-04,0.057,0.061,0.058,5.172414,0.061,0.061,303
2010-08-05,0.061,0.0624,0.0607,2.800659,0.0623,0.0623,85
2010-08-06,0.0623,0.0622,0.059,5.423729,0.059,0.059,157
2010-08-07,0.059,0.061,0.059,3.389831,0.0609,0.0609,132
2010-08-08,0.0609,0.0735,0.0593,23.946037,0.071,0.071,886
2010-08-09,0.071,0.0709,0.06651,6.600511,0.07,0.07,88
2010-08-10,0.07,0.07541,0.06,25.683333,0.067,0.067,1015
2010-08-11,0.067,0.07,0.06141,13.987950,0.07,0.07,134
2010-08-12,0.07,0.068,0.0645,5.426357,0.0645,0.0645,233
2010-08-13,0.0645,0.0695,0.0645,7.751938,0.067,0.067,295
2010-08-14,0.067,0.067,0.065,3.076923,0.06529,0.06529,294
2010-08-15,0.06529,0.0679,0.062,9.516129,0.0655,0.0655,696
2010-08-16,0.0655,0.0769,0.06242999999999999,23.177959,0.07,0.07,915
2010-08-17,0.07,0.0733,0.067,9.402985,0.068,0.068,203
2010-08-18,0.068,0.0679,0.0667,1.799100,0.0667,0.0667,50
2010-08-19,0.0667,0.0667,0.065,2.615385,0.0655,0.0655,276
2010-08-20,0.0655,0.0669,0.0644,3.881988,0.0664,0.0664,688
2010-08-21,0.0664,0.0664,0.0612,8.496732,0.066,0.066,1183
